ticket_id,cliente_id,fecha_creacion,tiempo_resolucion_horas,csat_score
TCK-00056,CLI-0005,2026-01-12,75.9,1
TCK-00057,CLI-0005,2026-02-26,66.1,1
TCK-00058,CLI-0005,2026-03-09,90.5,2
TCK-00059,CLI-0005,2026-01-21,79.4,1
TCK-00060,CLI-0005,2026-03-13,71.3,1
TCK-00061,CLI-0005,2026-01-24,69.1,1
TCK-00062,CLI-0005,2026-02-20,30.3,2
TCK-00063,CLI-0005,2026-01-18,45.6,3
TCK-00064,CLI-0005,2026-05-13,44.3,1
TCK-00065,CLI-0005,2026-01-27,73.4,1
TCK-00066,CLI-0005,2026-01-29,63.3,2
TCK-00067,CLI-0005,2026-05-24,50.0,1
TCK-00068,CLI-0005,2026-01-27,56.0,1
TCK-00069,CLI-0005,2026-03-21,129.0,1
TCK-00070,CLI-0005,2026-01-03,68.8,1
TCK-00071,CLI-0005,2026-03-29,57.3,2
TCK-00072,CLI-0005,2026-01-22,84.7,1
TCK-00073,CLI-0005,2026-03-01,58.4,1
TCK-00074,CLI-0005,2026-02-10,71.1,1
TCK-00075,CLI-0006,2026-03-22,1.3,5
TCK-00076,CLI-0006,2026-01-30,0.5,5
TCK-00077,CLI-0006,2026-04-24,2.2,5
TCK-00078,CLI-0006,2026-05-31,7.8,5
TCK-00079,CLI-0006,2026-01-01,2.4,5
TCK-00080,CLI-0007,2026-03-21,7.0,5
TCK-00081,CLI-0007,2026-03-21,1.6,4
TCK-00082,CLI-0007,2026-04-26,9.0,5
TCK-00083,CLI-0007,2026-01-10,28.8,3
TCK-00084,CLI-0007,2026-05-09,3.9,5
TCK-00085,CLI-0007,2026-04-03,4.4,5
TCK-00086,CLI-0007,2026-04-17,0.7,3
TCK-00087,CLI-0007,2026-01-01,0.5,4
TCK-00088,CLI-0007,2026-05-27,2.0,5
TCK-00089,CLI-0007,2026-03-12,0.5,4
TCK-00090,CLI-0007,2026-01-13,15.8,5
TCK-00091,CLI-0007,2026-04-09,0.7,4
TCK-00092,CLI-0008,2026-04-27,0.5,4
TCK-00093,CLI-0008,2026-01-26,1.4,3
TCK-00094,CLI-0008,2026-03-17,10.5,4
TCK-00095,CLI-0008,2026-05-09,2.1,3
TCK-00096,CLI-0008,2026-04-28,22.9,5
TCK-00097,CLI-0008,2026-05-15,4.2,5
TCK-00098,CLI-0008,2026-02-24,7.5,5
TCK-00099,CLI-0008,2026-01-18,1.0,5
TCK-00100,CLI-0008,2026-01-06,4.2,5
TCK-00101,CLI-0008,2026-02-20,3.9,5
TCK-00102,CLI-0009,2026-01-27,1.7,5
TCK-00103,CLI-0009,2026-03-09,7.0,4
TCK-00104,CLI-0009,2026-04-01,5.4,4
TCK-00105,CLI-0009,2026-04-10,0.5,4
TCK-00106,CLI-0009,2026-03-11,0.5,5
TCK-00107,CLI-0009,2026-03-22,4.9,4
TCK-00108,CLI-0009,2026-05-02,3.8,3
TCK-00109,CLI-0009,2026-02-02,7.3,3
TCK-00110,CLI-0009,2026-02-09,5.0,4
TCK-00111,CLI-0009,2026-04-28,1.0,5
TCK-00112,CLI-0009,2026-03-25,7.6,4
TCK-00113,CLI-0010,2026-05-01,9.1,5
TCK-00114,CLI-0010,2026-03-10,4.5,5
TCK-00115,CLI-0010,2026-01-14,0.5,4
TCK-00116,CLI-0010,2026-04-27,1.9,5
TCK-00117,CLI-0010,2026-03-10,3.3,4
TCK-00118,CLI-0010,2026-01-07,0.9,5
TCK-00119,CLI-0010,2026-02-26,0.5,4
TCK-00120,CLI-0011,2026-02-24,0.6,3
TCK-00121,CLI-0011,2026-04-26,1.9,5
TCK-00122,CLI-0011,2026-03-09,0.5,5
TCK-00123,CLI-0011,2026-03-08,4.1,5
TCK-00124,CLI-0011,2026-05-29,2.2,4
TCK-00125,CLI-0011,2026-05-15,8.2,4
TCK-00126,CLI-0011,2026-04-26,2.4,3
TCK-00127,CLI-0012,2026-01-01,1.2,5
TCK-00128,CLI-0012,2026-02-28,1.8,5
TCK-00129,CLI-0012,2026-03-05,2.0,5
TCK-00130,CLI-0012,2026-01-28,5.8,4
TCK-00131,CLI-0012,2026-02-28,3.7,4
TCK-00132,CLI-0012,2026-04-11,0.6,5
TCK-00133,CLI-0012,2026-03-15,9.4,5
TCK-00134,CLI-0012,2026-01-23,12.2,5
TCK-00135,CLI-0013,2026-02-17,51.5,1
TCK-00136,CLI-0013,2026-04-14,82.1,1
TCK-00137,CLI-0013,2026-03-18,18.4,2
TCK-00138,CLI-0013,2026-01-19,89.0,2
TCK-00139,CLI-0013,2026-01-02,62.9,2
TCK-00140,CLI-0013,2026-04-09,45.6,1
TCK-00141,CLI-0013,2026-01-05,76.6,1
TCK-00142,CLI-0013,2026-02-27,64.9,1
TCK-00143,CLI-0013,2026-02-12,36.7,3
TCK-00144,CLI-0013,2026-04-20,18.1,3
TCK-00145,CLI-0013,2026-04-26,84.4,3
TCK-00146,CLI-0013,2026-03-31,14.7,1
TCK-00147,CLI-0014,2026-03-01,10.1,4
TCK-00148,CLI-0014,2026-01-17,9.1,4
TCK-00149,CLI-0014,2026-05-23,9.6,4
TCK-00150,CLI-0014,2026-01-12,3.2,4
TCK-00151,CLI-0014,2026-03-31,1.2,4
TCK-00152,CLI-0014,2026-05-06,2.0,5
TCK-00153,CLI-0014,2026-04-12,6.9,4
TCK-00154,CLI-0014,2026-03-03,24.3,5
TCK-00155,CLI-0015,2026-01-23,5.0,5
TCK-00156,CLI-0015,2026-01-10,0.7,5
TCK-00157,CLI-0015,2026-01-21,2.2,5
TCK-00158,CLI-0015,2026-01-07,2.3,3
TCK-00159,CLI-0015,2026-05-17,10.5,3
TCK-00160,CLI-0015,2026-04-14,4.4,5
TCK-00161,CLI-0016,2026-03-27,3.3,3
TCK-00162,CLI-0016,2026-03-17,11.1,5
TCK-00163,CLI-0016,2026-04-15,0.5,5
TCK-00164,CLI-0016,2026-01-25,2.2,4
TCK-00165,CLI-0016,2026-02-12,1.5,5
TCK-00166,CLI-0016,2026-03-24,0.5,3
TCK-00167,CLI-0017,2026-02-27,77.9,1
TCK-00168,CLI-0017,2026-04-12,62.1,2
TCK-00169,CLI-0017,2026-01-10,48.6,2
TCK-00170,CLI-0017,2026-04-10,34.3,1
TCK-00171,CLI-0017,2026-03-15,106.3,2
TCK-00172,CLI-0017,2026-01-06,111.7,1
TCK-00173,CLI-0017,2026-01-16,60.1,2
TCK-00174,CLI-0017,2026-03-13,89.3,3
TCK-00175,CLI-0017,2026-04-23,53.8,3
TCK-00176,CLI-0017,2026-03-16,35.6,2
TCK-00177,CLI-0017,2026-05-14,59.8,3
TCK-00178,CLI-0017,2026-04-13,40.5,1
TCK-00179,CLI-0017,2026-04-29,80.2,1
TCK-00180,CLI-0017,2026-03-18,71.1,2
TCK-00181,CLI-0017,2026-05-24,109.0,2
TCK-00182,CLI-0017,2026-04-07,43.7,2
TCK-00183,CLI-0018,2026-05-30,3.4,4
TCK-00184,CLI-0018,2026-05-13,2.3,5
TCK-00185,CLI-0018,2026-03-11,1.0,4
TCK-00186,CLI-0018,2026-05-11,3.7,5
TCK-00187,CLI-0018,2026-03-06,0.5,5
TCK-00188,CLI-0018,2026-05-13,1.8,5
TCK-00189,CLI-0019,2026-01-18,9.8,4
TCK-00190,CLI-0019,2026-04-30,0.7,5
TCK-00191,CLI-0019,2026-01-04,11.0,5
TCK-00192,CLI-0019,2026-03-05,4.0,3
TCK-00193,CLI-0019,2026-04-14,6.0,5
TCK-00194,CLI-0019,2026-01-28,1.2,5
TCK-00195,CLI-0019,2026-01-07,0.5,4
TCK-00196,CLI-0019,2026-01-14,0.5,5
TCK-00197,CLI-0019,2026-04-27,0.5,4
TCK-00198,CLI-0019,2026-04-30,9.9,4
TCK-00199,CLI-0019,2026-01-02,0.6,3
TCK-00200,CLI-0020,2026-01-19,44.3,3
TCK-00201,CLI-0020,2026-04-24,93.2,2
TCK-00202,CLI-0020,2026-05-05,30.9,2
TCK-00203,CLI-0020,2026-02-26,83.7,3
TCK-00204,CLI-0020,2026-05-04,34.6,1
TCK-00205,CLI-0020,2026-03-22,41.6,2
TCK-00206,CLI-0020,2026-05-27,27.7,1
TCK-00207,CLI-0020,2026-03-21,32.3,2
TCK-00208,CLI-0020,2026-02-20,51.4,1
TCK-00209,CLI-0020,2026-02-21,128.6,2
TCK-00210,CLI-0020,2026-01-10,45.6,2
TCK-00211,CLI-0020,2026-04-24,98.1,2
TCK-00212,CLI-0020,2026-05-16,69.0,2
TCK-00213,CLI-0020,2026-01-27,78.7,1
TCK-00214,CLI-0020,2026-01-29,115.0,1
TCK-00215,CLI-0021,2026-01-19,0.5,5
TCK-00216,CLI-0021,2026-04-24,0.5,5
TCK-00217,CLI-0021,2026-01-28,11.8,4
TCK-00218,CLI-0021,2026-05-27,0.5,5
TCK-00219,CLI-0021,2026-04-19,1.3,4
TCK-00220,CLI-0022,2026-01-14,5.7,5
TCK-00221,CLI-0022,2026-01-10,5.0,4
TCK-00222,CLI-0022,2026-03-13,4.5,4
TCK-00223,CLI-0022,2026-01-07,2.4,5
TCK-00224,CLI-0022,2026-02-13,8.8,3
TCK-00225,CLI-0022,2026-01-24,21.2,4
TCK-00226,CLI-0022,2026-03-10,1.2,5
TCK-00227,CLI-0022,2026-03-15,2.9,5
TCK-00228,CLI-0022,2026-03-17,1.7,5
TCK-00229,CLI-0023,2026-01-23,6.3,4
TCK-00230,CLI-0023,2026-04-02,1.5,4
TCK-00231,CLI-0023,2026-03-27,10.7,5
TCK-00232,CLI-0023,2026-04-19,2.0,5
TCK-00233,CLI-0023,2026-04-25,4.7,5
TCK-00234,CLI-0023,2026-03-13,2.5,3
TCK-00235,CLI-0023,2026-02-28,4.8,4
TCK-00236,CLI-0023,2026-03-01,2.8,4
TCK-00237,CLI-0023,2026-03-01,1.4,5
TCK-00238,CLI-0023,2026-05-13,3.3,3
TCK-00239,CLI-0024,2026-03-19,120.0,2
TCK-00240,CLI-0024,2026-05-25,62.3,1
TCK-00241,CLI-0024,2026-04-15,40.9,2
TCK-00242,CLI-0024,2026-03-29,52.1,1
TCK-00243,CLI-0024,2026-04-06,84.5,2
TCK-00244,CLI-0024,2026-02-11,39.2,2
TCK-00245,CLI-0024,2026-02-28,73.3,1
TCK-00246,CLI-0025,2026-05-26,5.0,3
TCK-00247,CLI-0025,2026-01-28,1.1,3
TCK-00248,CLI-0025,2026-05-03,0.9,5
TCK-00249,CLI-0025,2026-01-07,6.6,4
TCK-00250,CLI-0025,2026-02-24,11.4,5
TCK-00251,CLI-0025,2026-03-01,3.0,3
TCK-00252,CLI-0026,2026-04-03,6.8,3
TCK-00253,CLI-0026,2026-03-04,3.7,3
TCK-00254,CLI-0026,2026-01-01,4.9,4
TCK-00255,CLI-0026,2026-01-15,5.0,3
TCK-00256,CLI-0027,2026-03-21,47.7,1
TCK-00257,CLI-0027,2026-05-30,76.8,1
TCK-00258,CLI-0027,2026-05-30,91.0,2
TCK-00259,CLI-0027,2026-02-16,59.3,2
TCK-00260,CLI-0027,2026-04-09,62.4,1
TCK-00261,CLI-0027,2026-04-14,55.5,3
TCK-00262,CLI-0027,2026-03-31,55.3,1
TCK-00263,CLI-0027,2026-02-24,105.0,2
TCK-00264,CLI-0027,2026-04-09,84.6,3
TCK-00265,CLI-0027,2026-01-29,76.6,1
TCK-00266,CLI-0027,2026-05-03,55.8,1
TCK-00267,CLI-0027,2026-04-27,20.8,1
TCK-00268,CLI-0027,2026-03-02,48.6,2
TCK-00269,CLI-0028,2026-01-27,66.8,2
TCK-00270,CLI-0028,2026-04-27,65.9,1
TCK-00271,CLI-0028,2026-02-25,66.2,3
TCK-00272,CLI-0028,2026-05-26,140.6,3
TCK-00273,CLI-0028,2026-03-19,97.4,2
TCK-00274,CLI-0028,2026-04-20,159.1,1
TCK-00275,CLI-0028,2026-02-09,65.1,2
TCK-00276,CLI-0028,2026-03-11,92.5,2
TCK-00277,CLI-0028,2026-05-10,58.7,1
TCK-00278,CLI-0028,2026-05-07,98.2,1
TCK-00279,CLI-0028,2026-02-08,18.0,2
TCK-00280,CLI-0028,2026-02-20,36.4,2
TCK-00281,CLI-0028,2026-05-24,52.3,2
TCK-00282,CLI-0028,2026-03-31,87.3,2
TCK-00283,CLI-0028,2026-05-15,90.9,2
TCK-00284,CLI-0028,2026-04-07,136.9,1
TCK-00285,CLI-0028,2026-03-26,95.3,3
TCK-00286,CLI-0028,2026-03-04,53.4,1
TCK-00287,CLI-0028,2026-02-09,110.0,1
TCK-00288,CLI-0028,2026-05-03,87.3,3
TCK-00289,CLI-0028,2026-04-10,103.0,2
TCK-00290,CLI-0028,2026-05-22,52.2,1
TCK-00291,CLI-0029,2026-04-27,4.9,3
TCK-00292,CLI-0029,2026-01-24,1.0,5
TCK-00293,CLI-0029,2026-03-08,2.6,4
TCK-00294,CLI-0029,2026-01-21,5.3,5
TCK-00295,CLI-0029,2026-03-03,5.7,4
TCK-00296,CLI-0029,2026-03-12,5.4,5
TCK-00297,CLI-0029,2026-05-28,7.5,4
TCK-00298,CLI-0029,2026-02-21,0.6,5
TCK-00299,CLI-0029,2026-02-01,0.6,4
TCK-00300,CLI-0030,2026-05-04,3.7,4
TCK-00301,CLI-0030,2026-04-10,2.3,5
TCK-00302,CLI-0030,2026-04-23,5.4,4
TCK-00303,CLI-0030,2026-01-09,1.3,4
TCK-00304,CLI-0030,2026-04-21,19.1,4
TCK-00305,CLI-0030,2026-01-02,4.8,4
TCK-00306,CLI-0030,2026-04-04,0.5,5
TCK-00307,CLI-0030,2026-04-04,0.5,5
TCK-00308,CLI-0031,2026-05-24,9.3,5
TCK-00309,CLI-0031,2026-01-26,9.5,5
TCK-00310,CLI-0031,2026-05-03,2.1,4
TCK-00311,CLI-0031,2026-02-28,4.2,5
TCK-00312,CLI-0031,2026-03-23,9.1,5
TCK-00313,CLI-0031,2026-04-29,7.2,5
TCK-00314,CLI-0031,2026-02-02,0.9,4
TCK-00315,CLI-0031,2026-01-31,4.3,4
TCK-00316,CLI-0031,2026-02-01,7.6,4
TCK-00317,CLI-0031,2026-04-10,0.6,5
TCK-00318,CLI-0031,2026-02-04,6.0,4
TCK-00319,CLI-0031,2026-03-28,19.8,4
TCK-00320,CLI-0032,2026-01-07,4.0,5
TCK-00321,CLI-0032,2026-04-11,14.4,4
TCK-00322,CLI-0032,2026-05-31,1.8,4
TCK-00323,CLI-0032,2026-05-23,0.5,3
TCK-00324,CLI-0032,2026-02-18,4.3,4
TCK-00325,CLI-0032,2026-04-05,9.5,5
TCK-00326,CLI-0032,2026-03-09,10.0,4
TCK-00327,CLI-0032,2026-04-11,4.5,5
TCK-00328,CLI-0032,2026-03-19,21.6,5
TCK-00329,CLI-0032,2026-04-13,4.5,5
TCK-00330,CLI-0032,2026-02-23,1.4,5
TCK-00331,CLI-0033,2026-05-17,0.7,3
TCK-00332,CLI-0033,2026-04-25,0.9,5
TCK-00333,CLI-0033,2026-01-04,0.8,5
TCK-00334,CLI-0033,2026-01-27,10.1,3
TCK-00335,CLI-0033,2026-03-17,0.5,5
TCK-00336,CLI-0034,2026-03-25,1.8,4
TCK-00337,CLI-0034,2026-04-03,4.9,3
TCK-00338,CLI-0034,2026-05-05,2.6,4
TCK-00339,CLI-0034,2026-01-02,0.5,4
TCK-00340,CLI-0034,2026-03-01,13.4,4
TCK-00341,CLI-0034,2026-03-02,4.4,4
TCK-00342,CLI-0034,2026-03-06,0.6,4
TCK-00343,CLI-0034,2026-02-03,3.2,4
TCK-00344,CLI-0034,2026-05-02,4.9,5
TCK-00345,CLI-0035,2026-01-26,0.5,3
TCK-00346,CLI-0035,2026-05-19,3.3,3
TCK-00347,CLI-0036,2026-04-12,1.2,5
TCK-00348,CLI-0036,2026-04-12,2.0,5
TCK-00349,CLI-0036,2026-05-30,1.2,4
TCK-00350,CLI-0036,2026-02-08,0.5,4
TCK-00351,CLI-0036,2026-04-03,2.4,3
TCK-00352,CLI-0036,2026-03-24,3.1,3
TCK-00353,CLI-0037,2026-02-02,0.5,3
TCK-00354,CLI-0037,2026-01-15,3.2,4
TCK-00355,CLI-0037,2026-03-26,0.5,4
TCK-00356,CLI-0037,2026-01-07,1.4,4
TCK-00357,CLI-0037,2026-02-14,5.1,5
TCK-00358,CLI-0037,2026-04-10,2.1,5
TCK-00359,CLI-0038,2026-01-14,0.8,4
TCK-00360,CLI-0038,2026-01-02,6.6,4
TCK-00361,CLI-0038,2026-01-13,6.9,5
TCK-00362,CLI-0038,2026-01-21,7.4,5
TCK-00363,CLI-0038,2026-01-29,4.6,4
TCK-00364,CLI-0038,2026-01-15,6.4,5
TCK-00365,CLI-0038,2026-01-22,10.3,3
TCK-00366,CLI-0039,2026-03-25,0.5,3
TCK-00367,CLI-0039,2026-04-19,3.1,5
TCK-00368,CLI-0039,2026-01-19,11.8,5
TCK-00369,CLI-0039,2026-04-17,9.2,4
TCK-00370,CLI-0039,2026-01-19,1.9,5
TCK-00371,CLI-0039,2026-05-30,5.9,5
TCK-00372,CLI-0039,2026-04-28,1.5,4
TCK-00373,CLI-0040,2026-02-19,4.1,5
TCK-00374,CLI-0040,2026-05-24,1.2,4
TCK-00375,CLI-0040,2026-03-08,2.5,4
TCK-00376,CLI-0040,2026-03-06,4.6,4
TCK-00377,CLI-0040,2026-05-12,5.6,4
TCK-00378,CLI-0041,2026-01-21,0.6,5
TCK-00379,CLI-0041,2026-02-05,1.5,5
TCK-00380,CLI-0041,2026-01-23,12.3,5
TCK-00381,CLI-0041,2026-03-01,9.9,4
TCK-00382,CLI-0041,2026-01-01,12.1,4
TCK-00383,CLI-0041,2026-01-13,1.3,5
TCK-00384,CLI-0041,2026-05-23,4.0,5
TCK-00385,CLI-0042,2026-05-12,2.0,5
TCK-00386,CLI-0042,2026-02-05,17.0,4
TCK-00387,CLI-0042,2026-02-19,1.0,4
TCK-00388,CLI-0042,2026-05-16,2.6,3
TCK-00389,CLI-0042,2026-03-19,3.3,5
TCK-00390,CLI-0042,2026-04-07,3.8,5
TCK-00391,CLI-0042,2026-05-27,3.1,3
TCK-00392,CLI-0042,2026-01-14,3.2,5
TCK-00393,CLI-0043,2026-05-24,37.4,1
TCK-00394,CLI-0043,2026-04-14,56.0,2
TCK-00395,CLI-0043,2026-05-03,119.2,1
TCK-00396,CLI-0043,2026-02-02,102.4,2
TCK-00397,CLI-0043,2026-02-20,53.2,2
TCK-00398,CLI-0043,2026-02-25,99.1,1
TCK-00399,CLI-0043,2026-01-19,48.9,1
TCK-00400,CLI-0043,2026-01-16,70.7,2
TCK-00401,CLI-0043,2026-03-09,68.6,1
TCK-00402,CLI-0043,2026-03-09,72.6,3
TCK-00403,CLI-0044,2026-05-16,0.8,5
TCK-00404,CLI-0044,2026-02-01,0.5,5
TCK-00405,CLI-0044,2026-05-07,14.1,3
TCK-00406,CLI-0044,2026-04-30,6.4,5
TCK-00407,CLI-0044,2026-03-04,15.4,5
TCK-00408,CLI-0045,2026-04-16,0.8,3
TCK-00409,CLI-0045,2026-04-03,2.8,5
TCK-00410,CLI-0045,2026-03-23,3.8,4
TCK-00411,CLI-0045,2026-04-18,1.9,4
TCK-00412,CLI-0045,2026-01-18,23.1,3
TCK-00413,CLI-0045,2026-02-05,1.9,5
TCK-00414,CLI-0045,2026-02-02,3.7,4
TCK-00415,CLI-0045,2026-01-19,24.6,5
TCK-00416,CLI-0045,2026-05-16,1.7,5
TCK-00417,CLI-0046,2026-05-21,14.8,3
TCK-00418,CLI-0046,2026-02-04,43.3,3
TCK-00419,CLI-0046,2026-02-05,59.2,2
TCK-00420,CLI-0046,2026-01-06,96.6,1
TCK-00421,CLI-0046,2026-04-16,31.9,1
TCK-00422,CLI-0046,2026-02-24,53.4,1
TCK-00423,CLI-0046,2026-01-21,21.6,1
TCK-00424,CLI-0046,2026-05-15,36.6,1
TCK-00425,CLI-0046,2026-04-12,49.5,1
TCK-00426,CLI-0046,2026-03-15,105.7,2
TCK-00427,CLI-0046,2026-02-01,78.8,2
TCK-00428,CLI-0047,2026-05-04,5.8,5
TCK-00429,CLI-0047,2026-04-09,4.9,5
TCK-00430,CLI-0047,2026-01-17,6.4,5
TCK-00431,CLI-0048,2026-02-27,4.4,5
TCK-00432,CLI-0048,2026-01-08,0.5,4
TCK-00433,CLI-0048,2026-02-09,4.7,5
TCK-00434,CLI-0048,2026-02-18,8.2,5
TCK-00435,CLI-0048,2026-04-16,0.9,4
TCK-00436,CLI-0048,2026-03-09,6.3,5
TCK-00437,CLI-0048,2026-01-30,1.8,4
TCK-00438,CLI-0048,2026-04-22,1.9,5
TCK-00439,CLI-0048,2026-03-03,12.0,3
TCK-00440,CLI-0048,2026-04-19,2.0,4
TCK-00441,CLI-0049,2026-05-10,7.8,4
TCK-00442,CLI-0049,2026-02-18,3.5,5
TCK-00443,CLI-0049,2026-03-23,5.9,5
TCK-00444,CLI-0049,2026-01-17,8.4,4
TCK-00445,CLI-0049,2026-04-16,2.3,5
TCK-00446,CLI-0049,2026-04-29,0.5,5
TCK-00447,CLI-0049,2026-04-22,12.7,5
TCK-00448,CLI-0050,2026-03-12,38.0,2
TCK-00449,CLI-0050,2026-01-04,101.6,1
TCK-00450,CLI-0050,2026-03-04,107.4,2
TCK-00451,CLI-0050,2026-02-07,46.1,2
TCK-00452,CLI-0050,2026-02-27,35.5,2
TCK-00453,CLI-0050,2026-05-28,78.5,3
TCK-00454,CLI-0050,2026-01-18,56.6,2
TCK-00455,CLI-0050,2026-05-27,51.5,1
TCK-00456,CLI-0050,2026-02-28,76.5,2
TCK-00457,CLI-0050,2026-02-15,139.1,2
TCK-00458,CLI-0050,2026-03-29,109.1,1
TCK-00459,CLI-0050,2026-02-05,66.6,3
TCK-00460,CLI-0050,2026-05-17,70.3,3
TCK-00461,CLI-0050,2026-02-08,98.5,3
TCK-00462,CLI-0050,2026-04-13,127.8,1
TCK-00463,CLI-0050,2026-04-27,45.2,3
TCK-00464,CLI-0050,2026-01-27,41.0,1
TCK-00465,CLI-0050,2026-02-14,62.6,3
TCK-00466,CLI-0050,2026-04-08,150.1,1
TCK-00467,CLI-0050,2026-03-03,81.0,2
TCK-00468,CLI-0050,2026-04-29,76.7,3
TCK-00469,CLI-0051,2026-05-30,83.7,1
TCK-00470,CLI-0051,2026-03-08,70.5,1
TCK-00471,CLI-0051,2026-05-26,56.5,1
TCK-00472,CLI-0051,2026-03-24,50.5,2
TCK-00473,CLI-0051,2026-02-12,78.3,3
TCK-00474,CLI-0051,2026-02-17,84.9,1
TCK-00475,CLI-0051,2026-03-22,67.2,1
TCK-00476,CLI-0051,2026-02-17,44.6,3
TCK-00477,CLI-0051,2026-04-17,171.0,1
TCK-00478,CLI-0051,2026-03-07,131.5,2
TCK-00479,CLI-0051,2026-03-08,46.5,3
TCK-00480,CLI-0051,2026-03-19,51.6,2
TCK-00481,CLI-0051,2026-05-14,82.1,1
TCK-00482,CLI-0051,2026-03-13,33.9,2
TCK-00483,CLI-0051,2026-03-05,35.9,1
TCK-00484,CLI-0051,2026-04-20,34.4,2
TCK-00485,CLI-0051,2026-05-19,100.3,2
TCK-00486,CLI-0051,2026-04-22,52.7,2
TCK-00487,CLI-0052,2026-05-10,10.2,4
TCK-00488,CLI-0052,2026-01-29,3.6,4
TCK-00489,CLI-0052,2026-01-30,4.0,4
TCK-00490,CLI-0052,2026-01-20,8.8,4
TCK-00491,CLI-0052,2026-03-21,2.2,3
TCK-00492,CLI-0052,2026-02-26,4.4,5
TCK-00493,CLI-0052,2026-02-26,1.0,3
TCK-00494,CLI-0052,2026-01-12,2.7,5
TCK-00495,CLI-0053,2026-04-20,8.3,4
TCK-00496,CLI-0053,2026-03-07,14.1,3
TCK-00497,CLI-0053,2026-01-07,1.9,5
TCK-00498,CLI-0053,2026-05-14,37.3,4
TCK-00499,CLI-0053,2026-01-07,8.3,5
TCK-00500,CLI-0053,2026-03-24,0.5,4
TCK-00501,CLI-0054,2026-05-24,109.6,2
TCK-00502,CLI-0054,2026-05-08,100.9,1
TCK-00503,CLI-0054,2026-05-03,90.4,2
TCK-00504,CLI-0054,2026-01-22,111.1,2
TCK-00505,CLI-0054,2026-03-27,97.0,2
TCK-00506,CLI-0054,2026-03-23,58.9,1
TCK-00507,CLI-0054,2026-03-31,80.4,1
TCK-00508,CLI-0054,2026-01-15,121.5,1
TCK-00509,CLI-0054,2026-04-10,43.9,2
TCK-00510,CLI-0054,2026-02-12,83.9,2
TCK-00511,CLI-0054,2026-05-04,67.5,1
TCK-00512,CLI-0054,2026-05-16,82.4,1
TCK-00513,CLI-0054,2026-05-03,76.3,1
TCK-00514,CLI-0054,2026-01-14,60.6,2
TCK-00515,CLI-0054,2026-02-13,57.5,3
