cliente_id,periodo_reportado,logins_periodo,tiempo_uso_promedio_min,reportes_generados
CLI-0028,2026-W06,6,23.83,5
CLI-0028,2026-W07,6,26.32,5
CLI-0028,2026-W08,2,6.1,0
CLI-0028,2026-W09,0,3.31,0
CLI-0028,2026-W10,1,2.13,0
CLI-0029,2026-W01,7,23.16,7
CLI-0029,2026-W02,9,19.2,8
CLI-0029,2026-W03,2,28.8,1
CLI-0029,2026-W04,9,13.29,6
CLI-0029,2026-W05,6,29.84,4
CLI-0029,2026-W06,10,26.69,6
CLI-0029,2026-W07,7,22.41,4
CLI-0029,2026-W08,7,27.64,7
CLI-0029,2026-W09,6,17.97,5
CLI-0029,2026-W10,10,21.78,9
CLI-0030,2026-W01,10,18.64,9
CLI-0030,2026-W02,7,17.39,6
CLI-0030,2026-W03,8,14.61,5
CLI-0030,2026-W04,7,14.82,4
CLI-0030,2026-W05,9,25.58,5
CLI-0030,2026-W06,4,28.67,3
CLI-0030,2026-W07,12,22.23,8
CLI-0030,2026-W08,6,36.12,6
CLI-0030,2026-W09,5,22.1,4
CLI-0030,2026-W10,8,28.73,7
CLI-0031,2026-W01,8,19.51,5
CLI-0031,2026-W02,6,20.29,4
CLI-0031,2026-W03,5,22.24,4
CLI-0031,2026-W04,6,14.53,4
CLI-0031,2026-W05,10,19.51,7
CLI-0031,2026-W06,5,21.16,4
CLI-0031,2026-W07,8,13.27,8
CLI-0031,2026-W08,8,16.76,8
CLI-0031,2026-W09,11,24.62,11
CLI-0031,2026-W10,7,18.27,4
CLI-0032,2026-W01,7,25.06,6
CLI-0032,2026-W02,7,20.91,4
CLI-0032,2026-W03,8,18.98,5
CLI-0032,2026-W04,7,11.57,4
CLI-0032,2026-W05,9,23.49,9
CLI-0032,2026-W06,6,31.49,4
CLI-0032,2026-W07,8,16.82,7
CLI-0032,2026-W08,9,23.99,8
CLI-0032,2026-W09,8,19.87,8
CLI-0032,2026-W10,8,20.69,8
CLI-0033,2026-W01,9,12.48,7
CLI-0033,2026-W02,7,30.61,6
CLI-0033,2026-W03,6,18.98,5
CLI-0033,2026-W04,7,15.93,7
CLI-0033,2026-W05,3,20.85,2
CLI-0033,2026-W06,8,21.74,6
CLI-0033,2026-W07,7,22.22,7
CLI-0033,2026-W08,10,21.05,8
CLI-0033,2026-W09,6,20.59,5
CLI-0033,2026-W10,9,29.06,8
CLI-0034,2026-W01,6,22.49,5
CLI-0034,2026-W02,8,17.04,4
CLI-0034,2026-W03,8,14.67,5
CLI-0034,2026-W04,4,23.83,3
CLI-0034,2026-W05,7,23.01,7
CLI-0034,2026-W06,7,17.12,7
CLI-0034,2026-W07,7,15.83,5
CLI-0034,2026-W08,10,15.22,8
CLI-0034,2026-W09,7,16.79,7
CLI-0034,2026-W10,9,20.34,5
CLI-0035,2026-W01,6,26.27,4
CLI-0035,2026-W02,8,24.58,7
CLI-0035,2026-W03,6,14.98,6
CLI-0035,2026-W04,8,20.41,5
CLI-0035,2026-W05,9,21.6,7
CLI-0035,2026-W06,8,13.88,8
CLI-0035,2026-W07,11,21.18,10
CLI-0035,2026-W08,9,17.82,6
CLI-0035,2026-W09,8,15.49,5
CLI-0035,2026-W10,8,20.22,5
CLI-0036,2026-W01,8,25.49,8
CLI-0036,2026-W02,5,18.58,4
CLI-0036,2026-W03,8,32.49,8
CLI-0036,2026-W04,7,24.96,5
CLI-0036,2026-W05,7,31.71,6
CLI-0036,2026-W06,4,22.47,2
CLI-0036,2026-W07,4,9.47,3
CLI-0036,2026-W08,8,22.7,5
CLI-0036,2026-W09,7,21.47,6
CLI-0036,2026-W10,14,20.71,14
CLI-0037,2026-W01,9,18.75,7
CLI-0037,2026-W02,8,20.81,6
CLI-0037,2026-W03,7,31.09,5
CLI-0037,2026-W04,10,22.68,6
CLI-0037,2026-W05,3,20.19,2
CLI-0037,2026-W06,13,20.85,13
CLI-0037,2026-W07,10,29.21,10
CLI-0037,2026-W08,8,17.79,8
CLI-0037,2026-W09,3,25.42,1
CLI-0037,2026-W10,6,22.88,4
CLI-0038,2026-W01,5,20.67,4
CLI-0038,2026-W02,8,23.34,7
CLI-0038,2026-W03,5,27.98,3
CLI-0038,2026-W04,6,13.63,5
CLI-0038,2026-W05,7,22.17,4
CLI-0038,2026-W06,8,28.81,7
CLI-0038,2026-W07,7,21.4,6
CLI-0038,2026-W08,5,26.1,3
CLI-0038,2026-W09,8,19.9,7
CLI-0038,2026-W10,4,29.22,3
CLI-0039,2026-W01,5,19.04,5
CLI-0039,2026-W02,8,16.02,7
CLI-0039,2026-W03,5,11.38,3
CLI-0039,2026-W04,9,19.27,7
CLI-0039,2026-W05,13,17.03,8
CLI-0039,2026-W06,6,19.17,4
CLI-0039,2026-W07,8,19.65,6
CLI-0039,2026-W08,9,17.11,9
CLI-0039,2026-W09,5,13.01,5
CLI-0039,2026-W10,3,19.41,2
CLI-0040,2026-W01,7,18.84,4
CLI-0040,2026-W02,10,28.14,9
CLI-0040,2026-W03,7,13.03,4
CLI-0040,2026-W04,6,19.0,4
CLI-0040,2026-W05,6,18.51,5
CLI-0040,2026-W06,6,20.07,6
CLI-0040,2026-W07,6,23.04,4
CLI-0040,2026-W08,8,17.45,5
CLI-0040,2026-W09,10,17.1,10
CLI-0040,2026-W10,4,23.9,4
CLI-0041,2026-W01,6,23.61,3
CLI-0041,2026-W02,3,28.96,2
CLI-0041,2026-W03,9,14.5,5
CLI-0041,2026-W04,5,30.36,4
CLI-0041,2026-W05,6,17.83,5
CLI-0041,2026-W06,3,20.25,3
CLI-0041,2026-W07,7,25.58,6
CLI-0041,2026-W08,5,14.4,4
CLI-0041,2026-W09,8,27.03,5
CLI-0041,2026-W10,4,27.41,3
CLI-0042,2026-W01,8,27.46,6
CLI-0042,2026-W02,7,9.39,5
CLI-0042,2026-W03,7,27.3,6
CLI-0042,2026-W04,6,20.06,3
CLI-0042,2026-W05,7,7.5,7
CLI-0042,2026-W06,11,17.49,8
CLI-0042,2026-W07,9,21.57,8
CLI-0042,2026-W08,10,24.03,10
CLI-0042,2026-W09,7,17.53,4
CLI-0042,2026-W10,9,12.63,6
CLI-0043,2026-W01,9,16.5,5
CLI-0043,2026-W02,10,22.81,7
CLI-0043,2026-W03,9,22.41,6
CLI-0043,2026-W04,4,17.7,2
CLI-0043,2026-W05,9,22.83,8
CLI-0043,2026-W06,10,24.02,9
CLI-0043,2026-W07,6,18.02,4
CLI-0043,2026-W08,0,0.81,0
CLI-0043,2026-W09,1,2.93,0
CLI-0043,2026-W10,1,2.72,0
CLI-0044,2026-W01,10,33.16,10
CLI-0044,2026-W02,5,25.86,4
CLI-0044,2026-W03,8,14.28,6
CLI-0044,2026-W04,8,26.17,4
CLI-0044,2026-W05,6,27.83,5
CLI-0044,2026-W06,4,14.53,3
CLI-0044,2026-W07,8,22.13,8
CLI-0044,2026-W08,6,26.05,6
CLI-0044,2026-W09,9,26.29,8
CLI-0044,2026-W10,7,25.01,7
CLI-0045,2026-W01,7,32.27,4
CLI-0045,2026-W02,6,32.53,5
CLI-0045,2026-W03,8,15.12,5
CLI-0045,2026-W04,10,22.63,10
CLI-0045,2026-W05,9,28.12,6
CLI-0045,2026-W06,8,19.04,6
CLI-0045,2026-W07,9,22.0,6
CLI-0045,2026-W08,9,11.23,6
CLI-0045,2026-W09,8,18.81,5
CLI-0045,2026-W10,11,25.12,9
CLI-0046,2026-W01,8,24.43,8
CLI-0046,2026-W02,6,30.12,5
CLI-0046,2026-W03,11,23.96,7
CLI-0046,2026-W04,11,19.15,10
CLI-0046,2026-W05,6,22.2,5
CLI-0046,2026-W06,8,20.03,7
CLI-0046,2026-W07,9,23.53,8
CLI-0046,2026-W08,1,6.44,0
CLI-0046,2026-W09,1,4.7,0
CLI-0046,2026-W10,1,2.77,0
CLI-0047,2026-W01,8,16.15,6
CLI-0047,2026-W02,5,18.85,5
CLI-0047,2026-W03,6,19.26,6
CLI-0047,2026-W04,7,26.19,5
CLI-0047,2026-W05,7,14.07,5
CLI-0047,2026-W06,10,17.81,6
CLI-0047,2026-W07,7,24.23,4
CLI-0047,2026-W08,8,27.47,6
CLI-0047,2026-W09,8,17.69,7
CLI-0047,2026-W10,12,22.97,11
CLI-0048,2026-W01,7,26.82,4
CLI-0048,2026-W02,8,24.0,7
CLI-0048,2026-W03,12,20.62,9
CLI-0048,2026-W04,7,22.58,4
CLI-0048,2026-W05,10,14.47,7
CLI-0048,2026-W06,4,19.06,4
CLI-0048,2026-W07,4,19.88,2
CLI-0048,2026-W08,9,17.55,8
CLI-0048,2026-W09,5,22.35,4
CLI-0048,2026-W10,9,13.53,6
CLI-0049,2026-W01,9,26.09,5
CLI-0049,2026-W02,9,28.09,6
CLI-0049,2026-W03,12,20.22,10
CLI-0049,2026-W04,8,19.92,7
CLI-0049,2026-W05,8,29.66,5
CLI-0049,2026-W06,5,17.69,3
CLI-0049,2026-W07,10,27.1,7
CLI-0049,2026-W08,7,26.27,6
CLI-0049,2026-W09,8,29.5,8
CLI-0049,2026-W10,8,27.13,8
CLI-0050,2026-W01,13,24.99,9
CLI-0050,2026-W02,8,25.61,8
CLI-0050,2026-W03,7,33.94,7
CLI-0050,2026-W04,8,20.64,6
CLI-0050,2026-W05,6,27.49,5
CLI-0050,2026-W06,9,19.51,5
CLI-0050,2026-W07,9,14.46,6
CLI-0050,2026-W08,1,4.01,0
CLI-0050,2026-W09,1,3.01,0
CLI-0050,2026-W10,0,1.12,0
CLI-0051,2026-W01,5,28.68,4
CLI-0051,2026-W02,11,23.6,10
CLI-0051,2026-W03,10,22.67,8
CLI-0051,2026-W04,7,20.33,4
CLI-0051,2026-W05,7,14.26,6
CLI-0051,2026-W06,8,21.8,6
CLI-0051,2026-W07,9,22.47,9
CLI-0051,2026-W08,0,1.17,0
CLI-0051,2026-W09,1,3.46,0
CLI-0051,2026-W10,0,2.05,0
CLI-0052,2026-W01,8,18.41,5
CLI-0052,2026-W02,6,23.15,3
CLI-0052,2026-W03,5,23.75,4
CLI-0052,2026-W04,6,27.31,4
CLI-0052,2026-W05,12,17.7,12
CLI-0052,2026-W06,9,18.37,8
CLI-0052,2026-W07,10,15.67,7
CLI-0052,2026-W08,8,17.64,5
CLI-0052,2026-W09,7,16.84,7
CLI-0052,2026-W10,9,17.82,7
CLI-0053,2026-W01,9,20.28,9
CLI-0053,2026-W02,7,22.74,5
CLI-0053,2026-W03,6,23.05,5
CLI-0053,2026-W04,11,18.11,7
CLI-0053,2026-W05,10,29.49,7
CLI-0053,2026-W06,6,14.72,3
CLI-0053,2026-W07,8,19.26,5
CLI-0053,2026-W08,11,22.17,7
CLI-0053,2026-W09,6,16.26,5
CLI-0053,2026-W10,10,19.14,9
CLI-0054,2026-W01,8,26.78,8
CLI-0054,2026-W02,7,21.77,4
CLI-0054,2026-W03,7,25.42,5
CLI-0054,2026-W04,9,20.9,7
CLI-0054,2026-W05,8,20.14,8
CLI-0054,2026-W06,5,23.29,3
CLI-0054,2026-W07,11,17.58,8
CLI-0054,2026-W08,0,1.32,0
CLI-0054,2026-W09,2,7.23,0
CLI-0054,2026-W10,1,2.56,0
CLI-0055,2026-W01,8,14.18,5
CLI-0055,2026-W02,8,26.36,6
CLI-0055,2026-W03,5,14.34,3
CLI-0055,2026-W04,11,18.94,11
CLI-0055,2026-W05,10,21.23,10
CLI-0055,2026-W06,7,24.19,5
CLI-0055,2026-W07,6,22.66,6
CLI-0055,2026-W08,7,15.4,4
CLI-0055,2026-W09,8,20.68,7
CLI-0055,2026-W10,7,15.95,6
CLI-0056,2026-W01,11,26.38,6
CLI-0056,2026-W02,9,20.47,8
CLI-0056,2026-W03,4,31.76,3
CLI-0056,2026-W04,7,18.26,4
CLI-0056,2026-W05,8,27.84,5
CLI-0056,2026-W06,7,28.39,5
CLI-0056,2026-W07,10,16.62,8
CLI-0056,2026-W08,6,26.79,5
CLI-0056,2026-W09,2,21.25,1
CLI-0056,2026-W10,5,19.62,3
CLI-0057,2026-W01,7,20.21,4
CLI-0057,2026-W02,6,16.51,3
CLI-0057,2026-W03,12,31.34,12
CLI-0057,2026-W04,5,29.91,4
CLI-0057,2026-W05,7,22.65,4
CLI-0057,2026-W06,7,18.7,6
CLI-0057,2026-W07,9,22.63,7
CLI-0057,2026-W08,7,15.48,5
CLI-0057,2026-W09,6,13.79,6
CLI-0057,2026-W10,8,16.02,8
CLI-0058,2026-W01,7,28.85,6
CLI-0058,2026-W02,10,21.84,6
CLI-0058,2026-W03,7,31.4,5
CLI-0058,2026-W04,9,20.36,9
CLI-0058,2026-W05,5,23.97,4
CLI-0058,2026-W06,9,18.84,5
CLI-0058,2026-W07,8,20.18,4
CLI-0058,2026-W08,7,9.56,7
CLI-0058,2026-W09,7,26.85,4
CLI-0058,2026-W10,6,22.26,4
CLI-0059,2026-W01,6,23.8,3
CLI-0059,2026-W02,7,17.3,5
CLI-0059,2026-W03,10,26.64,9
CLI-0059,2026-W04,6,24.49,6
CLI-0059,2026-W05,9,25.21,8
CLI-0059,2026-W06,4,27.03,3
CLI-0059,2026-W07,6,20.21,4
CLI-0059,2026-W08,13,23.51,10
CLI-0059,2026-W09,7,10.97,5
CLI-0059,2026-W10,10,15.27,6
CLI-0060,2026-W01,5,20.34,4
CLI-0060,2026-W02,10,25.87,10
CLI-0060,2026-W03,7,23.54,4
CLI-0060,2026-W04,6,22.7,6
CLI-0060,2026-W05,8,26.84,7
CLI-0060,2026-W06,9,24.47,7
CLI-0060,2026-W07,7,25.71,4
CLI-0060,2026-W08,7,16.59,7
CLI-0060,2026-W09,7,22.42,6
CLI-0060,2026-W10,9,21.08,5
CLI-0061,2026-W01,5,22.28,3
CLI-0061,2026-W02,8,22.93,7
CLI-0061,2026-W03,9,27.09,8
CLI-0061,2026-W04,6,18.92,5
CLI-0061,2026-W05,5,25.49,5
CLI-0061,2026-W06,10,20.42,6
CLI-0061,2026-W07,7,29.33,7
CLI-0061,2026-W08,9,24.18,6
CLI-0061,2026-W09,5,25.39,3
CLI-0061,2026-W10,6,16.33,4
CLI-0062,2026-W01,7,19.07,7
CLI-0062,2026-W02,7,14.8,5
CLI-0062,2026-W03,9,27.64,9
CLI-0062,2026-W04,4,26.89,3
CLI-0062,2026-W05,6,26.28,5
CLI-0062,2026-W06,7,22.14,4
CLI-0062,2026-W07,7,28.06,4
CLI-0062,2026-W08,5,25.04,4
CLI-0062,2026-W09,10,25.58,10
CLI-0062,2026-W10,12,19.36,8
CLI-0063,2026-W01,9,21.47,6
CLI-0063,2026-W02,10,21.96,8
CLI-0063,2026-W03,7,28.53,5
CLI-0063,2026-W04,7,14.94,5
CLI-0063,2026-W05,6,25.1,5
CLI-0063,2026-W06,10,22.56,6
CLI-0063,2026-W07,10,15.21,8
CLI-0063,2026-W08,7,20.56,4
CLI-0063,2026-W09,7,22.42,5
CLI-0063,2026-W10,9,19.78,7
CLI-0064,2026-W01,8,21.77,7
CLI-0064,2026-W02,6,21.43,4
CLI-0064,2026-W03,7,21.17,5
CLI-0064,2026-W04,8,22.38,5
CLI-0064,2026-W05,7,28.36,5
CLI-0064,2026-W06,5,18.4,3
CLI-0064,2026-W07,13,16.81,9
CLI-0064,2026-W08,5,25.67,4
CLI-0064,2026-W09,3,20.82,2
CLI-0064,2026-W10,12,14.28,13
CLI-0065,2026-W01,4,14.5,3
CLI-0065,2026-W02,9,27.62,6
CLI-0065,2026-W03,6,25.42,5
CLI-0065,2026-W04,10,30.94,6
CLI-0065,2026-W05,7,10.49,6
CLI-0065,2026-W06,6,19.87,5
CLI-0065,2026-W07,7,21.06,6
CLI-0065,2026-W08,10,28.37,10
CLI-0065,2026-W09,7,27.49,4
CLI-0065,2026-W10,8,22.32,7
CLI-0066,2026-W01,9,22.36,6
CLI-0066,2026-W02,12,14.81,7
CLI-0066,2026-W03,6,21.37,4
CLI-0066,2026-W04,8,28.34,6
CLI-0066,2026-W05,7,14.89,5
CLI-0066,2026-W06,9,25.77,8
CLI-0066,2026-W07,4,21.98,3
CLI-0066,2026-W08,4,18.68,3
CLI-0066,2026-W09,6,26.05,6
CLI-0066,2026-W10,8,15.57,6
CLI-0067,2026-W01,9,14.83,8
CLI-0067,2026-W02,8,17.93,5
